our_code	producer_code	name	producer	quantity	price	ean
0PO4360593	4360593	PODPROZE PN "P"Z UCHWYTEM LEWARKA.......	POLONEZ/FSO	0	19,10	
0PO4360594	4360594	PODPROZE PN "L"Z UCHWYTEM LEWARKA.......	POLONEZ/FSO	0	19,10	
0PO4579730/01	4579730/01	PODPORA WALU METALEX WASKA!!KOMPLETNA	POLONEZ/FSO	0	47,52	5907553959722
0POP6115/1	P6115/1	POPRZECZKI RAMY SKRZ.LAD.TRUCK - 1SZT...	POLONEZ/FSO	0	30,18	
0POZ-1231	Z-1231	PODKLADKA GUMOWA SPIRALI FSO,PN,126P FAB	POLONEZ/FSO	0	4,35	
0POZ-1231/1	Z-1231/1	PODKLADKA GUMOWA SPIRALI FSO,PN,126P RZE	POLONEZ/FSO	17	5,05	5907553959166
0PR0030095	0030095	PRZEWOD PAPIEROWY PN KOL.WYD-TERMOSTAT .	POLONEZ/FSO	0	17,40	
0PR0030234	0030234	PRZEWOD PODCIS.SERWA PN KROTKI	POLONEZ/FSO	0	2,85	
0PR0057328	0057328	PRZEWOD PAPIEROWY PN MR 094 KROTKI45/215	POLONEZ/FSO	0	18,85	
0PR0057587	0057587	PRZEWOD PAPIEROWY PN MR 093 DLUGI60/515	POLONEZ/FSO	0	18,85	
0PR0058172	0058172	PRZEWOD WLOTOWY DO NAGRZEWNICY PN CAR-93	POLONEZ/FSO	0	2,74	
0PR0059625	0059625	PRZEWOD CHLODNICY GORNY PN MR93 WTRYSK	POLONEZ/FSO	0	11,34	
0PR0059625/1	0059625/1	PRZEWOD CHLODNICY GORNY PN MR93 WTR.PAGU	POLONEZ/FSO	5	12,28	
0PR0076426/1703	0076426/1703	PRZEWOD CHLODNICY DOLNY PN MR 93 WTRYSK	POLONEZ/FSO	0	48,28	
0PR023037/1	023037/1	PRZEWOD H-CA PN DO KOREKTORA/MIEDZ.3/	POLONEZ/FSO	2	12,04	5908243290200
0PR023039/1	023039/1	PRZEWOD H-CA PN TYL PRAWY/MIEDZ.5/	POLONEZ/FSO	3	14,89	5908243290224
0PR023041/1	023041/1	PRZEWOD H-CA PN TYL LEWY/MIEDZ.4/	POLONEZ/FSO	3	9,90	5908243290217
0PR023053/1	023053/1	PRZEWOD H-CA PN PRZOD LEWY Z SYG.MIEDZ.8	POLONEZ/FSO	0	9,90	5908243290255
0PR028400	028400	PRZEWOD CHLODNICY FSO-PN DOLNY SILNIK PN	POLONEZ/FSO	0	10,53	
0PR028401	028401	PRZEWOD CHLODNICY GORNY FSO-PN SILNIK PN	POLONEZ/FSO	0	8,97	
0PR028489/1	028489/1	PRZEWOD PALIWA DOPLYW PN/FSO MIEDZ 8	POLONEZ/FSO	0	47,82	5908243290248
0PR028491/1	028491/1	PRZEWOD POWROTNY PALIWA PN/FSO MIEDZ 6	POLONEZ/FSO	5	42,31	5908243291306
0PR028916/M6A	028916/M6A	PRZEWOD H-CA PN DLUGI FRANCUZ MIEDZ."7"	POLONEZ/FSO	2	29,50	5908243290248
0PR029376	029376	PRZEWOD CHLODNICY DOLNY PN FABRYCZNY.	POLONEZ/FSO	0	12,01	
0PR029547	029547	PRZEWOD H-CA PN PRZOD PRAWY 1MIEDZ	POLONEZ/FSO	1	23,08	5908243290187
0PR029551/M2	029551/M2	PRZEWOD H-CA FSO PRZOD LEWY MIEDZ/2/	POLONEZ/FSO	1	13,81	5908243290194
0PR029555/M6	029555/M6	PRZEWOD H-CA PN DLUGI MIEDZ ZWYKLY "6"	POLONEZ/FSO	3	35,25	5908243290231
